,dates,H,H_est
0,2023-08-29 19:59:12,0.34,0.33927613496780396
1,2023-08-30 03:14:42,0.2961846153846154,1.2763048291633852
2,2023-08-30 10:30:12,0.24993333333333334,0.23250387545808085
3,2023-08-30 17:45:42,0.3352333333333333,0.32043718117555336
4,2023-08-31 01:01:12,0.14036923076923077,1.7784467171572271
5,2023-08-31 08:16:42,0.2533,0.24015706850747978
6,2023-08-31 15:32:12,0.3552888888888889,0.33231731694901273
7,2023-08-31 22:47:42,0.2682,0.29076420492492616
8,2023-09-01 06:03:12,1.0863076923076924,1.5428186772299595
9,2023-09-01 13:18:42,1.5259666666666667,1.4773887757744109
10,2023-09-01 20:34:12,2.3296,2.31051442399621
11,2023-09-02 03:49:42,1.4207941176470589,1.368851730931223
12,2023-09-02 11:05:12,0.4282666666666667,0.39786139130592346
13,2023-09-02 18:20:42,0.4069,0.413920521736145
14,2023-09-03 01:36:12,0.7478622222222222,1.5995476009827372
15,2023-09-03 08:51:42,0.7010666666666666,0.5997468042187393
16,2023-09-03 16:07:12,0.611,0.6810617186129093
17,2023-09-03 23:22:42,0.9875372549019608,0.9232178445998969
18,2023-09-04 06:38:12,0.7484392156862745,0.6705496990001102
19,2023-09-04 13:53:42,0.5042,0.4911938595810327
20,2023-09-04 21:09:12,0.4146666666666667,0.3104158615959542
21,2023-09-05 04:24:42,0.7240117647058824,0.5747077205650913
22,2023-09-05 11:40:12,0.7366,0.7261218493804336
23,2023-09-05 18:55:42,1.3099666666666667,1.3012764935514756
24,2023-09-06 02:11:12,0.9341960784313725,0.6453199908449061
25,2023-09-06 09:26:42,0.8711,0.895756241532841
26,2023-09-06 16:42:12,0.8037333333333333,0.8976974951635514
27,2023-09-06 23:57:42,0.6870607843137255,0.40339772407526625
28,2023-09-07 07:13:12,0.7980705882352942,0.9241427899996855
29,2023-09-07 14:28:42,0.6073999999999999,0.7504322207532823
30,2023-09-07 21:44:12,0.7547444444444444,0.7570142344955135
31,2023-09-08 04:59:42,0.5413117647058824,0.3979750149941781
32,2023-09-08 12:15:12,0.3801333333333333,0.2990174431885992
33,2023-09-08 19:30:42,0.39953333333333335,0.450596093000578
34,2023-09-09 02:46:12,0.27727500000000005,0.2860771103372427
35,2023-09-09 10:01:42,0.2712263888888889,0.24230615889587237
36,2023-09-09 17:17:12,0.20426666666666668,0.30658203296895536
37,2023-09-10 00:32:42,0.16686666666666666,0.27928647976884025
38,2023-09-10 07:48:12,0.19912592592592593,0.2687355674390972
39,2023-09-10 15:03:42,0.14153703703703704,0.23841646868427555
40,2023-09-10 22:19:12,0.1532,0.6933859163629157
41,2023-09-11 05:34:42,0.35388771929824564,0.4798655732175552
42,2023-09-11 12:50:12,0.5104,0.41969383669396243
43,2023-09-11 20:05:42,0.3181,0.3725034361705184
44,2023-09-12 03:21:12,0.23250526315789474,0.30054364148318097
45,2023-09-12 10:36:42,0.2722333333333333,0.25444970704016406
46,2023-09-12 17:52:12,0.2122,0.2873800118187709
47,2023-09-13 01:07:42,0.2087982456140351,0.25475692123083976
48,2023-09-13 08:23:12,0.1705964912280702,0.3240033555287547
49,2023-09-13 15:38:42,0.25935,0.32873594865668565
50,2023-09-13 22:54:12,0.20193333333333335,0.2714736737044794
51,2023-09-14 06:09:42,0.23769298245614034,0.3084927861341572
52,2023-09-14 13:25:12,0.1916,0.21435713873555262
53,2023-09-14 20:40:42,0.15286666666666668,0.586411306510369
54,2023-09-15 03:56:12,0.14117894736842107,0.47786262643973476
55,2023-09-15 11:11:42,0.1839,0.19386121522568697
56,2023-09-15 18:27:12,0.12093333333333332,0.24015648596520936
57,2023-09-16 01:42:42,0.12568947368421052,0.3341167533494644
58,2023-09-16 08:58:12,0.20879999999999999,0.19891646783798933
59,2023-09-16 16:13:42,0.36369999999999997,0.3968969015404582
60,2023-09-16 23:29:12,0.8994666666666666,0.7537733553859051
61,2023-09-17 06:44:42,1.1898,1.1268319994960232
62,2023-09-17 14:00:12,1.4199333333333333,1.3211350285431795
63,2023-09-17 21:15:42,1.1972,1.2094060953706502
64,2023-09-18 04:31:12,0.8958956521739131,0.927372255007918
65,2023-09-18 11:46:42,0.9133,0.9653242326208523
66,2023-09-18 19:02:12,1.3461,1.3185954902853285
67,2023-09-19 02:17:42,1.01302,0.9281649753796036
68,2023-09-19 09:33:12,0.6857333333333333,0.6731207208441836
69,2023-09-19 16:48:42,0.42246666666666666,0.2969328888492393
70,2023-09-20 00:04:12,0.23803809523809524,0.2825325528349159
71,2023-09-20 07:19:42,0.18273650793650795,0.3273145611397922
72,2023-09-20 14:35:12,0.20346666666666666,0.33170956027294907
73,2023-09-20 21:50:42,0.7869,0.6321564825650837
74,2023-09-21 05:06:12,0.5993777777777778,0.6683511031065452
75,2023-09-21 12:21:42,0.3572333333333333,0.2977046314959547
76,2023-09-21 19:37:12,0.3272,0.2882167414895126
77,2023-09-22 02:52:42,0.2813882882882883,0.2883966144454985
78,2023-09-22 10:08:12,0.2146900900900901,0.26976285783141396
79,2023-09-22 17:23:42,0.1437,0.828489188171391
80,2023-09-23 00:39:12,0.25655466666666665,0.35751624103964563
81,2023-09-23 07:54:42,0.24494133333333332,0.31402205084676077
82,2023-09-23 15:10:12,0.18980000000000002,0.26297848438844085
83,2023-09-23 22:25:42,0.25,0.32360375080523746
84,2023-09-24 05:41:12,0.22946666666666665,0.27661552982941523
85,2023-09-24 12:56:42,0.22,0.19691410797115946
86,2023-09-24 20:12:12,0.12,1.0698667734063096
87,2023-09-25 03:27:42,0.1789015873015873,0.30501203091294204
88,2023-09-25 10:43:12,0.1856,0.2455575539331351
89,2023-09-25 17:58:42,0.19826666666666667,0.2798138446108039
90,2023-09-26 01:14:12,0.31669600000000003,0.36469900210061645
91,2023-09-26 08:29:42,0.264436,0.31614712703750175
92,2023-09-26 15:45:12,0.3552,0.3358524494937488
93,2023-09-26 23:00:42,0.3616405405405405,0.39272539507364856
94,2023-09-27 06:16:12,0.3734108108108108,0.3882292669499293
95,2023-09-27 13:31:42,0.38518108108108107,0.3837331388262101
96,2023-09-27 20:47:12,0.39695135135135134,0.37923701070249083
97,2023-09-28 04:02:42,0.4087216216216216,0.3747408825787716
98,2023-09-28 11:18:12,0.40786666666666666,0.3598915075084993
99,2023-09-28 18:33:42,0.3726,0.38113244336896707
100,2023-09-29 01:49:12,0.3303542857142857,0.3166477215340043
101,2023-09-29 09:04:42,0.2930257142857143,0.3287508655538237
102,2023-09-29 16:20:12,0.25569714285714285,0.34085400957364315
103,2023-09-29 23:35:42,0.21836857142857144,0.3529571535934626
104,2023-09-30 06:51:12,0.18104000000000003,0.365060297613282
105,2023-09-30 14:06:42,0.19444166666666668,0.26589688420526486
106,2023-09-30 21:22:12,0.49,0.3248975014181009
107,2023-10-01 04:37:42,0.5464565217391304,0.6447080791965358
108,2023-10-01 11:53:12,0.6145333333333334,0.7085207469229188
109,2023-10-01 19:08:42,0.9926,0.9699147537217608
110,2023-10-02 02:24:12,0.8263816091954023,0.7439390417160947
111,2023-10-02 09:39:42,0.6061287356321838,0.6832652418514947
112,2023-10-02 16:55:12,0.652,0.7693379276565143
113,2023-10-03 00:10:42,0.8882805555555555,0.72038719079869
114,2023-10-03 07:26:12,0.6826277777777777,0.7663686070701754
115,2023-10-03 14:41:42,0.4461,0.5991097821055779
116,2023-10-03 21:57:12,0.27,0.5216138602367469
117,2023-10-04 05:12:42,0.27627101449275365,0.3926929900215091
118,2023-10-04 12:28:12,0.36,0.34902835291411194
119,2023-10-04 19:43:42,0.24,0.28926435352436136
120,2023-10-05 02:59:12,0.3744102564102564,0.5510953577822202
121,2023-10-05 10:14:42,0.4860769230769231,0.660951419649263
122,2023-10-05 17:30:12,0.5602666666666667,0.585047073662281
123,2023-10-06 00:45:42,0.56486,0.5543057512947019
124,2023-10-06 08:01:12,0.47776,0.5455287394156172
125,2023-10-06 15:16:42,0.5155666666666667,0.5118708009831607
126,2023-10-06 22:32:12,0.4791361111111111,0.6180007059060767
127,2023-10-07 05:47:42,0.4730875,0.664742298366209
128,2023-10-07 13:03:12,0.45533333333333337,0.5100869025502887
129,2023-10-07 20:18:42,0.3587,0.34294533932448495
130,2023-10-08 03:34:12,0.3954083333333333,0.5355693783434191
131,2023-10-08 10:49:42,0.38109444444444446,0.29268239774905586
132,2023-10-08 18:05:12,0.26653333333333334,0.31808487565389704
133,2023-10-09 01:20:42,0.19204166666666667,0.5202277082955404
134,2023-10-09 08:36:12,0.2525277777777778,0.33166801580711536
135,2023-10-09 15:51:42,0.2861666666666667,0.3455223209956395
136,2023-10-09 23:07:12,0.5062,0.33612049247866893
137,2023-10-10 06:22:42,0.5787833333333333,0.38523716150459575
138,2023-10-10 13:38:12,0.6513666666666666,0.4343538305305225
139,2023-10-10 20:53:42,0.6737000000000001,0.682564978239437
140,2023-10-11 04:09:12,0.5669333333333333,0.46259786317711826
141,2023-10-11 11:24:42,0.44,0.3999120902403125
142,2023-10-11 18:40:12,1.2194,1.1931342067463058
143,2023-10-12 01:55:42,0.8906011494252873,0.8496409108424012
144,2023-10-12 09:11:12,0.5852505747126437,0.4828509101096322
145,2023-10-12 16:26:42,0.3111,0.3644139189273119
146,2023-10-12 23:42:12,0.43169523809523813,0.5231483065319924
147,2023-10-13 06:57:42,0.39021904761904763,0.5804526606730662
148,2023-10-13 14:13:12,0.41,0.3992567432246038
149,2023-10-13 21:28:42,0.3502166666666667,0.5959245279587352
150,2023-10-14 04:44:12,0.27763333333333334,0.4135524064898113
151,2023-10-14 11:59:42,0.1804,0.33054072097209947
152,2023-10-14 19:15:12,0.26493333333333335,0.2426938768032761
153,2023-10-15 02:30:42,0.2285297619047619,0.35918883661867174
