time,path,H
2024-03-11 23:30:00,/Volumes/Argus/unk/snap/c1/1710199800.c1.snap.jpg,0.6018248
2024-03-12 00:00:00,/Volumes/Argus/unk/snap/c1/1710201600.c1.snap.jpg,0.5414326
2024-03-12 00:30:00,/Volumes/Argus/unk/snap/c1/1710203400.c1.snap.jpg,0.60129774
2024-03-12 01:00:00,/Volumes/Argus/unk/snap/c1/1710205200.c1.snap.jpg,0.64722705
2024-03-12 01:30:00,/Volumes/Argus/unk/snap/c1/1710207000.c1.snap.jpg,0.6760235
2024-03-12 02:00:00,/Volumes/Argus/unk/snap/c1/1710208800.c1.snap.jpg,0.7219511
2024-03-12 03:30:00,/Volumes/Argus/unk/snap/c1/1710214200.c1.snap.jpg,0.98134893
2024-03-12 04:00:00,/Volumes/Argus/unk/snap/c1/1710216000.c1.snap.jpg,0.7291329
2024-03-12 04:30:00,/Volumes/Argus/unk/snap/c1/1710217800.c1.snap.jpg,0.8297742
2024-03-12 05:00:00,/Volumes/Argus/unk/snap/c1/1710219600.c1.snap.jpg,1.0789605
2024-03-12 17:00:00,/Volumes/Argus/unk/snap/c1/1710262800.c1.snap.jpg,0.6109468
2024-03-12 18:00:00,/Volumes/Argus/unk/snap/c1/1710266400.c1.snap.jpg,0.40032122
2024-03-12 18:30:00,/Volumes/Argus/unk/snap/c1/1710268200.c1.snap.jpg,0.45961896
2024-03-12 19:00:00,/Volumes/Argus/unk/snap/c1/1710270000.c1.snap.jpg,0.44869137
2024-03-12 19:30:00,/Volumes/Argus/unk/snap/c1/1710271800.c1.snap.jpg,0.52613413
2024-03-12 20:00:00,/Volumes/Argus/unk/snap/c1/1710273600.c1.snap.jpg,0.62102664
2024-03-12 20:30:00,/Volumes/Argus/unk/snap/c1/1710275400.c1.snap.jpg,0.66453815
2024-03-12 21:00:00,/Volumes/Argus/unk/snap/c1/1710277200.c1.snap.jpg,0.6045375
2024-03-12 21:30:00,/Volumes/Argus/unk/snap/c1/1710279000.c1.snap.jpg,0.6358666
2024-03-12 22:00:00,/Volumes/Argus/unk/snap/c1/1710280800.c1.snap.jpg,0.6015966
2024-03-12 22:30:00,/Volumes/Argus/unk/snap/c1/1710282600.c1.snap.jpg,0.6163826
2024-03-12 23:00:00,/Volumes/Argus/unk/snap/c1/1710284400.c1.snap.jpg,0.62144685
2024-03-13 00:00:00,/Volumes/Argus/unk/snap/c1/1710288000.c1.snap.jpg,0.5316912
2024-03-13 01:00:00,/Volumes/Argus/unk/snap/c1/1710291600.c1.snap.jpg,0.6598222
2024-03-13 01:30:00,/Volumes/Argus/unk/snap/c1/1710293400.c1.snap.jpg,0.6799879
2024-03-13 02:00:00,/Volumes/Argus/unk/snap/c1/1710295200.c1.snap.jpg,0.83402956
2024-03-13 02:30:00,/Volumes/Argus/unk/snap/c1/1710297000.c1.snap.jpg,0.63520473
2024-03-13 03:00:00,/Volumes/Argus/unk/snap/c1/1710298800.c1.snap.jpg,0.5996524
2024-03-13 03:30:00,/Volumes/Argus/unk/snap/c1/1710300600.c1.snap.jpg,0.91579044
2024-03-13 04:00:00,/Volumes/Argus/unk/snap/c1/1710302400.c1.snap.jpg,1.061244
2024-03-13 04:30:00,/Volumes/Argus/unk/snap/c1/1710304200.c1.snap.jpg,0.7970446
2024-03-13 05:00:00,/Volumes/Argus/unk/snap/c1/1710306000.c1.snap.jpg,1.3428808
2024-03-13 16:30:00,/Volumes/Argus/unk/snap/c1/1710347400.c1.snap.jpg,0.54165775
2024-03-13 17:00:00,/Volumes/Argus/unk/snap/c1/1710349200.c1.snap.jpg,0.6070241
2024-03-13 17:30:00,/Volumes/Argus/unk/snap/c1/1710351000.c1.snap.jpg,0.45987186
2024-03-13 18:00:00,/Volumes/Argus/unk/snap/c1/1710352800.c1.snap.jpg,0.500656
